Pays
Espagne
France
Monaco
Italie
Malte
Slovénie
Croatie
Bosnie-Herzégovine
Monténégro
Albanie
Grèce
Turquie
Chypre
Syrie
Liban
Israël
Bande de Gaza (Palestine)
Égypte
Libye
Tunisie
Algérie
Maroc
